Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Consulta a serviços de proteção de crédito;41753500;COOPERATIVA DE CRÉDITO CARLOS CHAGAS LTDA. - SICOOB CARLOS CHAGAS;100;Por evento
Consulta a serviços de proteção de crédito;3918382;AGENCIA DE FOMENTO DE GOIAS S/A;100;Por evento
Consulta a serviços de proteção de crédito;5442029;CASA DO CRÉDITO S.A. SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR;100;Por evento
Consulta a serviços de proteção de crédito;31895683;BANCO INDUSTRIAL DO BRASIL S.A.;90;Por evento
Consulta a serviços de proteção de crédito;10664513;BANCO AGIBANK S.A.;85;Por evento
Consulta a serviços de proteção de crédito;64237530;COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA;80;Por evento
Consulta a serviços de proteção de crédito;7925729;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE;75;Por evento
Consulta a serviços de proteção de crédito;5276770;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA FRONTEIRAS PR/SC/SP/ES - CRESOL FRONTEIRAS PR/SC/SP/ES;75;Por evento
Consulta a serviços de proteção de crédito;4490531;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS;75;Por evento
Consulta a serviços de proteção de crédito;8560508;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRIUNFO - CRESOL TRIUNFO;75;Por evento
Consulta a serviços de proteção de crédito;6126780;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA GRANDES LAGOS PR/SP - CRESOL GRANDES LAGOS PR/SP;75;Por evento
Consulta a serviços de proteção de crédito;2446089;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA UNIÃO - CRESOL UNIÃO;75;Por evento
Consulta a serviços de proteção de crédito;5277312;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA HORIZONTE - CRESOL HORIZONTE;75;Por evento
Consulta a serviços de proteção de crédito;2934201;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA LIDERANÇA - CRESOL LIDERANÇA;75;Por evento
Consulta a serviços de proteção de crédito;971300;COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA;75;Por evento
Consulta a serviços de proteção de crédito;6139650;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DO RIO GRANDE DO SUL - CRESOL RIO GRANDE DO SUL;75;Por evento
Consulta a serviços de proteção de crédito;10520232;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DA AMAZÔNIA - CRESOL AMAZÔNIA;75;Por evento
Consulta a serviços de proteção de crédito;4663561;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA VALE DAS ÁGUAS - CRESOL VALE DAS ÁGUAS;75;Por evento
Consulta a serviços de proteção de crédito;5231945;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES - CRESOL UNIÃO DOS VALES;75;Por evento
Consulta a serviços de proteção de crédito;8624548;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS;75;Por evento
Consulta a serviços de proteção de crédito;7268499;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA INTEGRAÇÃO - CRESOL INTEGRAÇÃO;75;Por evento
Consulta a serviços de proteção de crédito;3965737;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA VANGUARDA - CRESOL VANGUARDA;75;Por evento
Consulta a serviços de proteção de crédito;4350225;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRADIÇÃO - CRESOL TRADIÇÃO;75;Por evento
Consulta a serviços de proteção de crédito;2448310;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA PROGRESSO - CRESOL PROGRESSO;75;Por evento
Consulta a serviços de proteção de crédito;11969853;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CONEXÃO - CRESOL CONEXÃO;75;Por evento
Consulta a serviços de proteção de crédito;7512780;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU;75;Por evento
Consulta a serviços de proteção de crédito;68512748;COOPERATIVA DE CRÉDITO CREDIESMERALDAS LTDA. - SICOOB CREDIESMERALDAS;70;Por evento
Consulta a serviços de proteção de crédito;41669227;COOPERATIVA DE CRÉDITO DE PRODUTORES RURAIS E DE LIVRE ADMISSÃO DO TRIÂNGULO LTDA    SICOOB CREDITRIL;66;Por evento
Consulta a serviços de proteção de crédito;81607046;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS;62;Por evento
Consulta a serviços de proteção de crédito;68900810;BANCO RENDIMENTO S.A.;60;Por evento
Consulta a serviços de proteção de crédito;61033106;BANCO CREFISA S.A.;60;Por evento
Consulta a serviços de proteção de crédito;78632767;BANCO OURINVEST S.A.;60;Por evento
Consulta a serviços de proteção de crédito;62816426;SOCIÉTÉ GÉNÉRALE EQUIPMENT FINANCE S.A. - ARRENDAMENTO MERCANTIL;55;Por evento
Consulta a serviços de proteção de crédito;3419786;COOPERATIVA DE CRÉDITO NOSSA SENHORA DO DESTERRO - SICOOB CREDISC;54,37;Por evento
Consulta a serviços de proteção de crédito;5241619;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT;50;Por evento
Consulta a serviços de proteção de crédito;10319386;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS;50;Por evento
Consulta a serviços de proteção de crédito;15173776;SOCIAL BANK BANCO MÚLTIPLO S/A;50;Por evento
Consulta a serviços de proteção de crédito;71237184;COOPERATIVA DE CRÉDITO CREDIBELO LTDA. - SICOOB CREDIBELO;50;Por evento
Consulta a serviços de proteção de crédito;82133182;COOPERATIVA DE CRÉDITO DO VALE EUROPEU - SICOOB EURO VALE;50;Por evento
Consulta a serviços de proteção de crédito;3326437;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS;50;Por evento
Consulta a serviços de proteção de crédito;39669186;HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;50;Por evento
Consulta a serviços de proteção de crédito;63229629;COOPERATIVA DE CREDITO RURAL ASCOOB SISAL;50;Por evento
Consulta a serviços de proteção de crédito;42934794;COOPERATIVA DE CRÉDITO CREDIPIMENTA LTDA. - SICOOB CREDIPIMENTA;50;Por evento
Consulta a serviços de proteção de crédito;78858107;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE -  SICOOB - CREDIAL SC/RS;50;Por evento
Consulta a serviços de proteção de crédito;1259518;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA;50;Por evento
Consulta a serviços de proteção de crédito;78825023;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OESTE CATARINENSE;50;Por evento
Consulta a serviços de proteção de crédito;11581339;BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;50;Por evento
Consulta a serviços de proteção de crédito;30723886;BANCO MODAL S.A.;50;Por evento
Consulta a serviços de proteção de crédito;3941182;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS;50;Por evento
Consulta a serviços de proteção de crédito;4814563;BANCO AFINZ S.A. - BANCO MÚLTIPLO;50;Por evento
Consulta a serviços de proteção de crédito;58497702;BANCO LETSBANK S.A.;50;Por evento
Consulta a serviços de proteção de crédito;795423;BANCO SEMEAR S.A.;50;Por evento
Consulta a serviços de proteção de crédito;8742188;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO;50;Por evento
Consulta a serviços de proteção de crédito;3612764;COOPERATIVA DE CRÉDITO  DE FRONTEIRAS  LTDA. - SICOOB FRONTEIRAS;50;Por evento
Consulta a serviços de proteção de crédito;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;50;Por evento
Consulta a serviços de proteção de crédito;7564184;COOPERATIVA DE CRÉDITO RURAL ASCOOB SERTÕES - ASCOOB SERTÕES;50;Por evento
Consulta a serviços de proteção de crédito;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;50;Por evento
Consulta a serviços de proteção de crédito;5247312;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO BURITIS - SICOOB BURITIS;50;Por evento
Consulta a serviços de proteção de crédito;33588252;BANCO INDUSCRED DE INVESTIMENTO S.A.;50;Por evento
Consulta a serviços de proteção de crédito;25404542;COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG;50;Por evento
Consulta a serviços de proteção de crédito;23623636;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT;50;Por evento
Consulta a serviços de proteção de crédito;208;BRB - BANCO DE BRASILIA S.A.;50;Por evento
Consulta a serviços de proteção de crédito;59588111;BANCO VOTORANTIM S.A.;50;Por evento
Consulta a serviços de proteção de crédito;25387713;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL;50;Por evento
Consulta a serviços de proteção de crédito;2025743;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA VALE DO OURO - CRESOL VALE DO OURO;50;Por evento
Consulta a serviços de proteção de crédito;24610065;COOPERATIVA DE CRÉDITO SICOOB IPÊ - SICOOB IPÊ;50;Por evento
Consulta a serviços de proteção de crédito;33132044;BANCO CEDULA S.A.;45;Por evento
