Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Comum_para débito_saque_consultas;7412987;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL ALIANÇA;150;A cada 360 dias
Comum_para débito_saque_consultas;71328769;SICOOB COCRED COOPERATIVA DE CRÉDITO;144;A cada 365 dias
Comum_para débito_saque_consultas;42873828;COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI;130,8;A cada 2190 dias
Comum_para débito_saque_consultas;54190525;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DA REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE - SICOOB-CRESSEM;120;A cada 365 dias
Comum_para débito_saque_consultas;26526166;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL MARANHENSE - SICOOB SUL MARANHENSE;106;A cada 365 dias
Comum_para débito_saque_consultas;41753500;COOPERATIVA DE CRÉDITO CARLOS CHAGAS LTDA. - SICOOB CARLOS CHAGAS;100;A cada 30 dias
Comum_para débito_saque_consultas;10808037;COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE MANAUS - SICOOB CREDEMPRESAS-AM;100;A cada 365 dias
Comum_para débito_saque_consultas;14046512;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA;100;A cada 365 dias
Comum_para débito_saque_consultas;17184037;BANCO MERCANTIL DO BRASIL S.A.;80;A cada 180 dias
Comum_para débito_saque_consultas;1152097;COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA;70;A cada 30 dias
Comum_para débito_saque_consultas;25606237;COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE;60;A cada 60 dias
Comum_para débito_saque_consultas;10175348;COOPERATIVA DE CRÉDITO MÚTUO DE LIVRE ADMISSÃO DA REGIÃO ADMINISTRATIVA DE SOROCABA - SICOOB COOPERASO;60;A cada 360 dias
Comum_para débito_saque_consultas;2232383;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC;60;A cada 365 dias
Comum_para débito_saque_consultas;26359745;COOPERATIVA DE CRÉDITO SICOOBMAIS  LTDA. - SICOOBMAIS;50;A cada 365 dias
Comum_para débito_saque_consultas;2031139;SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA;50;A cada 30 dias
Comum_para débito_saque_consultas;64237530;COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA;30;A cada 180 dias
Comum_para débito_saque_consultas;41931445;COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR;30;A cada 360 dias
Comum_para débito_saque_consultas;71297899;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MINEIRO LTDA. - SICOOB CREDICOPA;30;A cada 360 dias
Comum_para débito_saque_consultas;25387713;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL;30;A cada 360 dias
Comum_para débito_saque_consultas;5442029;CASA DO CRÉDITO S.A. SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR;30;A cada 365 dias
