Cnpj,RazaoSocial,ValorMaximo,Periodicidade
15168152,CONSEGTUR CORRETORA DE CÂMBIO LTDA.,150,Por evento
53935029,COOPERATIVA DE CRÉDITO COOCRELIVRE,150,Por evento
61088183,BANCO MIZUHO DO BRASIL S.A.,150,Por evento
94968518,EFX CORRETORA DE CÂMBIO LTDA.,150,Por evento
2318507,BANCO KEB HANA DO BRASIL S.A.,150,Por evento
70937271,COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA ÁREA DA SAÚDE E DE LIVRE ADMISSÃO LTDA - UNICRED ALIANÇA,150,Por evento
75647891,BANCO CRÉDIT AGRICOLE BRASIL S.A.,150,Por evento
19307785,BRAZA BANK S.A. BANCO DE CÂMBIO,150,Por evento
15114366,BANCO BOCOM BBM S.A.,150,Por evento
360305,CAIXA ECONOMICA FEDERAL,110,Por evento
33264668,BANCO XP S.A.,100,Por evento
7656500,BANCO KDB DO BRASIL S.A.,100,Por evento
27842177,"IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",100,Por evento
73302408,EXIM CORRETORA DE CAMBIO LTDA,100,Por evento
33923798,BANCO MASTER S/A,100,Por evento
22760839,COOPERATIVA DE CRÉDITO NOSSOCRÉDITO LTDA - SICOOB NOSSOCRÉDITO,100,Por evento
1073966,COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,100,Por evento
4902979,BANCO DA AMAZONIA S.A.,100,Por evento
33466988,BANCO CAIXA GERAL - BRASIL S.A.,100,Por evento
32648370,FAIR CORRETORA DE CAMBIO S.A.,99,Por evento
17904906,BRX CORRETORA DE CÂMBIO LTDA.,80,Por evento
3017677,BANCO J. SAFRA S.A.,80,Por evento
71677850,FRENTE CORRETORA DE CÂMBIO S.A.,50,Por evento
1060307,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA. - SICOOB UNIÃO DOS VALES,45,Por evento
61533584,BANCO SOCIETE GENERALE BRASIL S.A.,40,Por evento
20155248,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,35,Por evento
13220493,BR PARTNERS BANCO DE INVESTIMENTO S.A.,30,Por evento
19449602,COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER,20,Por evento
8240446,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM,15,Por evento
7853842,UNIPRIME OURO - COOPERATIVA DE CRÉDITO DE OURO,15,Por evento
8253539,COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL,15,Por evento
68987,COOPERATIVA DE CRÉDITO SICOOB ARACREDI LTDA - SICOOB ARACREDI,0,-
