Cnpj,RazaoSocial,ValorMaximo,Periodicidade
17359351,STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,1000,Por evento
11760553,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1000,Por evento
4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1000,Por evento
558456,BANCO CETELEM S.A.,1000,Por evento
17502881,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CEMIG E DAS INDÚSTRIAS METALÚRGICAS E DE MATERIAL ELÉTRICO E DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JUIZ DE FORA LTDA. - SICOOB CECREMEC,1000,Por evento
9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1000,Por evento
33644196,BANCO FATOR S.A.,1000,Por evento
78632767,BANCO OURINVEST S.A.,1000,Por evento
14388334,PARANÁ BANCO S.A.,1000,Por evento
10769660,AGÊNCIA DE FOMENTO DE ALAGOAS S.A.,1000,Por evento
10808037,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE MANAUS - SICOOB CREDEMPRESAS-AM,1000,Por evento
28195667,BANCO ABC BRASIL S.A.,1000,Por evento
78834975,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,1000,Por evento
58616418,BANCO FIBRA S.A.,1000,Por evento
61820817,BANCO PAULISTA S.A.,900,Por evento
60889128,BANCO SOFISA S.A.,900,Por evento
91669747,"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",900,Por evento
45437547,"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",870,Por evento
3183937,AGÊNCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM,800,Por evento
411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",800,Por evento
10664513,BANCO AGIBANK S.A.,800,Por evento
17298092,BANCO ITAÚ BBA S.A.,756,Por evento
17192451,BANCO ITAUCARD S.A.,756,Por evento
65654303,DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL,756,Por evento
38486817,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG,750,Por evento
3017677,BANCO J. SAFRA S.A.,690,Por evento
62063177,SAFRA LEASING S.A. ARRENDAMENTO MERCANTIL,690,Por evento
33040601,"CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",600,Por evento
7512441,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS",600,Por evento
3461243,COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP,600,Por evento
10371492,BANCO YAMAHA MOTOR DO BRASIL S.A.,600,Por evento
43818780,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.,600,Por evento
1858774,BANCO BV S.A.,600,Por evento
3215790,BANCO TOYOTA DO BRASIL S.A.,550,Por evento
62144175,BANCO PINE S.A.,500,Por evento
5841967,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,500,Por evento
2031139,SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA,500,Por evento
58497702,BANCO LETSBANK S.A.,500,Por evento
36947229,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",500,Por evento
9590601,COOPERATIVA DE CRÉDITO DA SERRA CATARINENSE - CREDICOMIN,500,Por evento
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,500,Por evento
3427097,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA,500,Por evento
40768766,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,500,Por evento
11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",500,Por evento
42887133,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO,500,Por evento
10663610,DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.,500,Por evento
416968,BANCO INTER S.A.,500,Por evento
13728156,WESTERN UNION CORRETORA DE CÂMBIO S.A.,500,Por evento
13720915,BANCO WESTERN UNION DO BRASIL S.A.,500,Por evento
2405189,COOPERATIVA DE CRÉDITO DA GRANDE FLORIANÓPOLIS - ÚNILOS,480,Por evento
64237530,COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA,400,Por evento
7714057,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA ÁREA NOTARIAL E REGISTRAL - COOPNORE,400,Por evento
67030395,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,400,Por evento
33923798,BANCO MASTER S/A,400,Por evento
460065,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,400,Por evento
6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",400,Por evento
10218474,COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA,380,Por evento
24537861,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,350,Por evento
4814563,BANCO AFINZ S.A. - BANCO MÚLTIPLO,350,Por evento
5940203,AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.,320,Por evento
37122487,"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",300,Por evento
30723886,BANCO MODAL S.A.,300,Por evento
71590442,LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,300,Por evento
61033106,BANCO CREFISA S.A.,300,Por evento
5676026,"CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",300,Por evento
62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,300,Por evento
18287740,CONECTA CORRETORA DE CÂMBIO LTDA.,251,Por evento
11758741,BANCO FINAXIS S.A.,250,Por evento
33132044,BANCO CEDULA S.A.,250,Por evento
16779741,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,250,Por evento
