Cnpj,RazaoSocial,ValorMaximo,Periodicidade
42887133,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO,500,A cada 365 dias
10663610,DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.,500,A cada 360 dias
416968,BANCO INTER S.A.,500,A cada 180 dias
91669747,"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",450,A cada 180 dias
64237530,COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA,400,A cada 360 dias
92874270,BANCO DIGIMAIS S.A.,350,A cada 180 dias
43818780,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.,350,A cada 180 dias
67030395,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,300,A cada 180 dias
33923798,BANCO MASTER S/A,300,A cada 180 dias
58497702,BANCO LETSBANK S.A.,300,A cada 180 dias
61033106,BANCO CREFISA S.A.,300,A cada 180 dias
40768766,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,300,A cada 180 dias
3848103,AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S.A.,300,A cada 730 dias
62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,300,A cada 360 dias
13728156,WESTERN UNION CORRETORA DE CÂMBIO S.A.,300,A cada 730 dias
13720915,BANCO WESTERN UNION DO BRASIL S.A.,300,A cada 720 dias
18287740,CONECTA CORRETORA DE CÂMBIO LTDA.,251,A cada 400 dias
78834975,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,250,A cada 360 dias
250699,AGK CORRETORA DE CAMBIO S.A.,200,A cada 720 dias
33132044,BANCO CEDULA S.A.,200,A cada 90 dias
33042151,BANCO DE LA NACION ARGENTINA,200,A cada 360 dias
7693858,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,200,A cada 30 dias
2031139,SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA,200,A cada 180 dias
4814563,BANCO AFINZ S.A. - BANCO MÚLTIPLO,200,A cada 365 dias
795423,BANCO SEMEAR S.A.,200,A cada 180 dias
460065,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,200,A cada 360 dias
20269566,VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,200,A cada 365 dias
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,200,A cada 10 dias
6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",200,A cada 180 dias
25536764,COOPERATIVA DE CRÉDITO CREDILUZ LTDA. - SICOOB CREDILUZ,200,A cada 365 dias
25387713,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL,200,A cada 360 dias
966246,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,200,A cada 365 dias
7237373,BANCO DO NORDESTE DO BRASIL S.A.,200,A cada 360 dias
61024352,BANCO VOITER S.A.,180,A cada 360 dias
74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,160,A cada 180 dias
10262276,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,156,A cada 90 dias
44189447,BANCO DE LA PROVINCIA DE BUENOS AIRES,150,A cada 360 dias
1152097,COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA,150,A cada 360 dias
30723886,BANCO MODAL S.A.,150,A cada 360 dias
71590442,LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,150,A cada 360 dias
7441209,BANCO MONEO S.A.,150,A cada 360 dias
17351180,BANCO TRIANGULO S.A.,150,A cada 180 dias
